date,on_num,off_num,total
20190101,3419948,3393505,6813453
20190102,7621668,7592334,15214002
20190103,7873692,7842521,15716213
20190104,8270345,8238936,16509281
20190105,6062294,6030041,12092335
20190106,4408718,4380548,8789266
20190107,7824428,7794744,15619172
20190108,7913162,7880220,15793382
20190109,7815405,7783069,15598474
20190110,7977300,7943858,15921158
20190111,8351322,8322218,16673540
20190112,6282189,6249935,12532124
20190113,4501053,4471430,8972483
20190114,7680436,7649995,15330431
20190115,7826713,7796883,15623596
20190116,7891108,7860667,15751775
20190117,8034764,8003544,16038308
20190118,8361638,8331206,16692844
20190119,6259796,6224923,12484719
20190120,4530960,4498963,9029923
20190121,7736189,7707825,15444014
20190122,7929541,7897433,15826974
20190123,8034871,8003785,16038656
20190124,8082710,8051559,16134269
20190125,8438603,8407563,16846166
20190126,6350557,6317588,12668145
20190127,4635486,4606559,9242045
20190128,7845049,7816369,15661418
20190129,7948890,7919983,15868873
20190130,8039829,8009463,16049292
20190131,7899350,7870708,15770058
20190201,7979109,7952743,15931852
20190202,5079486,5056721,10136207
20190203,3412440,3395496,6807936
20190204,2941955,2920885,5862840
20190205,2837335,2815479,5652814
20190206,3741895,3719637,7461532
20190207,7401179,7372794,14773973
20190208,7913111,7882112,15795223
20190209,6002458,5968028,11970486
20190210,4360767,4332473,8693240
20190211,7942263,7912704,15854967
20190212,8084200,8051460,16135660
20190213,8163495,8130267,16293762
20190214,8255961,8221527,16477488
20190215,8594706,8566747,17161453
20190216,6619046,6583366,13202412
20190217,4745767,4714947,9460714
20190218,8000117,7970291,15970408
20190219,8046652,8021191,16067843
20190220,8226686,8194659,16421345
20190221,8272500,8238287,16510787
20190222,8613525,8578734,17192259
20190223,6803807,6766849,13570656
20190224,4985414,4952226,9937640
20190225,8120066,8088780,16208846
20190226,8265465,8230301,16495766
20190227,8345186,8312840,16658026
20190228,8581221,8548654,17129875
20190301,5930573,5896024,11826597
20190302,5921798,5889802,11811600
20190303,4647568,4617237,9264805
20190304,8201102,8172808,16373910
20190305,8251245,8224043,16475288
20190306,8378284,8351214,16729498
20190307,8603259,8573509,17176768
20190308,8989634,8959808,17949442
20190309,6954483,6916790,13871273
20190310,4881761,4850679,9732440
20190311,8382567,8355694,16738261
20190312,8390888,8361897,16752785
20190313,8513096,8485381,16998477
20190314,8610202,8580602,17190804
20190315,8822074,8790252,17612326
20190316,6819792,6783809,13603601
20190317,5080663,5049300,10129963
20190318,8367946,8341024,16708970
20190319,8544193,8515209,17059402
20190320,8394513,8365279,16759792
20190321,8527999,8498711,17026710
20190322,8919986,8889334,17809320
20190323,6567232,6533134,13100366
20190324,4958816,4928577,9887393
20190325,8317220,8291212,16608432
20190326,8574736,8546440,17121176
20190327,8533735,8505091,17038826
20190328,8609202,8578987,17188189
20190329,8982834,8952299,17935133
20190330,6394876,6362637,12757513
20190331,4741000,4712766,9453766
20190401,8261837,8234043,16495880
20190402,8406365,8375614,16781979
20190403,8527790,8499500,17027290
20190404,8600061,8571129,17171190
20190405,8941522,8912039,17853561
20190406,6635470,6602408,13237878
20190407,5359816,5325802,10685618
20190408,8482826,8455040,16937866
20190409,8418130,8387629,16805759
20190410,8372841,8343508,16716349
20190411,8702077,8670470,17372547
20190412,9012472,8980138,17992610
20190413,7231605,7192356,14423961
20190414,4589747,4560371,9150118
20190415,8365436,8338470,16703906
20190416,8527784,8499169,17026953
20190417,8595810,8566390,17162200
20190418,8422846,8393510,16816356
20190419,8785636,8754576,17540212
20190420,6734643,6696010,13430653
20190421,4789775,4758234,9548009
20190422,8277904,8251143,16529047
20190423,8320434,8291651,16612085
20190424,8500676,8472494,16973170
20190425,8422596,8392167,16814763
20190426,8859387,8827664,17687051
20190427,7265901,7226613,14492514
20190428,5133257,5100297,10233554
20190429,8484332,8456475,16940807
20190430,8899595,8870867,17770462
20190501,6694473,6660269,13354742
20190502,8791908,8761850,17553758
20190503,9229899,9195610,18425509
20190504,7070758,7034113,14104871
20190505,5297402,5263441,10560843
20190506,5369332,5339966,10709298
20190507,8548961,8520187,17069148
20190508,8562564,8535374,17097938
20190509,8719913,8691958,17411871
20190510,9164243,9133581,18297824
20190511,7145642,7108691,14254333
20190512,5289198,5255115,10544313
20190513,8348349,8322275,16670624
20190514,8635187,8605814,17241001
20190515,8841858,8811986,17653844
20190516,8697917,8668316,17366233
20190517,9058227,9026981,18085208
20190518,7008806,6970623,13979429
20190519,4665005,4633675,9298680
20190520,8387871,8360874,16748745
20190521,8591979,8562611,17154590
20190522,8632877,8604183,17237060
20190523,8653208,8623491,17276699
20190524,9068976,9038472,18107448
20190525,7071049,7035306,14106355
20190526,5212099,5179326,10391425
20190527,7979920,7951657,15931577
20190528,8577296,8548166,17125462
20190529,8596789,8568382,17165171
20190530,8548665,8518947,17067612
20190531,8877682,8849264,17726946
20190601,6847512,6812575,13660087
20190602,4940345,4909155,9849500
20190603,8309451,8283810,16593261
20190604,8471637,8443709,16915346
20190605,8830646,8803531,17634177
20190606,5214097,5184158,10398255
20190607,7792983,7764385,15557368
20190608,6460739,6425534,12886273
20190609,4555745,4526955,9082700
20190610,8140124,8115186,16255310
20190611,8426561,8398867,16825428
20190612,8436850,8409218,16846068
20190613,8491512,8463141,16954653
20190614,8738857,8709226,17448083
20190615,6693392,6658780,13352172
20190616,4765657,4734965,9500622
20190617,8199981,8173463,16373444
20190618,8214004,8185448,16399452
20190619,8359400,8331480,16690880
20190620,8544825,8515377,17060202
20190621,8756816,8725933,17482749
20190622,6826801,6791717,13618518
20190623,4919631,4890167,9809798
20190624,8155794,8128323,16284117
20190625,8296896,8268392,16565288
20190626,8295254,8266536,16561790
20190627,8197084,8168560,16365644
20190628,8599857,8570855,17170712
20190629,6316617,6284920,12601537
20190630,4747971,4719230,9467201
20190701,7991995,7965187,15957182
20190702,8185777,8157272,16343049
20190703,8303565,8273231,16576796
20190704,8326655,8295946,16622601
20190705,8684216,8655157,17339373
20190706,6377621,6345989,12723610
20190707,4727873,4698997,9426870
20190708,8020694,7993049,16013743
20190709,8271246,8242045,16513291
20190710,8203020,8172554,16375574
20190711,8151391,8123445,16274836
20190712,8692901,8662894,17355795
20190713,6461558,6429144,12890702
20190714,4796336,4766229,9562565
20190715,7857538,7829735,15687273
20190716,8114695,8085524,16200219
20190717,8232188,8203259,16435447
20190718,8247612,8217805,16465417
20190719,8596195,8565406,17161601
20190720,6057596,6029256,12086852
20190721,4487074,4459972,8947046
20190722,7936110,7907346,15843456
20190723,8011439,7982954,15994393
20190724,7947219,7918360,15865579
20190725,7877037,7847610,15724647
20190726,7866547,7841011,15707558
20190727,5883945,5853693,11737638
20190728,4116856,4090705,8207561
20190729,7708348,7679259,15387607
20190730,7741716,7711032,15452748
20190731,7377885,7349910,14727795
20190801,7620871,7590717,15211588
20190802,7804885,7773616,15578501
20190803,5535659,5505685,11041344
20190804,4325436,4295872,8621308
20190805,7345208,7317289,14662497
20190806,7535447,7506075,15041522
20190807,7571721,7541631,15113352
20190808,7791984,7762890,15554874
20190809,8110118,8080191,16190309
20190810,5830133,5801699,11631832
20190811,4481508,4453947,8935455
20190812,7379443,7352890,14732333
20190813,7893015,7862057,15755072
20190814,8109784,8079278,16189062
20190815,4754066,4725883,9479949
20190816,7585726,7557943,15143669
20190817,5806816,5776230,11583046
20190818,4597168,4569949,9167117
20190819,7832106,7803785,15635891
20190820,8039294,8008180,16047474
20190821,8085897,8055084,16140981
20190822,8083171,8053291,16136462
20190823,8502383,8472577,16974960
20190824,6476808,6444500,12921308
20190825,4736717,4707132,9443849
20190826,8027292,7999907,16027199
20190827,8174019,8145506,16319525
20190828,8300111,8271504,16571615
20190829,8016127,7988691,16004818
20190830,8661238,8630704,17291942
20190831,6658502,6624507,13283009
20190901,4876432,4847135,9723567
20190902,8273578,8246124,16519702
20190903,8395771,8367510,16763281
20190904,8164368,8138369,16302737
20190905,8124395,8098324,16222719
20190906,8673943,8644032,17317975
20190907,4443955,4423567,8867522
20190908,4698359,4673085,9371444
20190909,8329081,8304216,16633297
20190910,8236254,8209608,16445862
20190911,8387337,8358833,16746170
20190912,3582721,3559928,7142649
20190913,3308479,3285467,6593946
20190914,4120087,4096745,8216832
20190915,4424630,4399313,8823943
20190916,8067090,8041660,16108750
20190917,8437892,8411005,16848897
20190918,8547436,8519116,17066552
20190919,8594218,8565499,17159717
20190920,8988314,8957824,17946138
20190921,6960464,6923406,13883870
20190922,4435698,4409368,8845066
20190923,8381957,8354860,16736817
20190924,8591085,8561777,17152862
20190925,8619490,8590702,17210192
20190926,8583744,8553901,17137645
20190927,8969868,8938234,17908102
20190928,7289325,7251057,14540382
20190929,5159192,5126479,10285671
20190930,8341565,8313478,16655043
20191001,8450703,8419770,16870473
20191002,8603980,8572960,17176940
20191003,5806392,5763798,11570190
20191004,8503843,8470840,16974683
20191005,7240280,7200643,14440923
20191006,5015589,4980635,9996224
20191007,7912870,7889875,15802745
20191008,8773609,8746197,17519806
20191009,5906634,5870257,11776891
20191010,8444956,8416392,16861348
20191011,8790469,8760265,17550734
20191012,7058041,7022050,14080091
20191013,5074067,5042836,10116903
20191014,8278022,8251548,16529570
20191015,8430507,8401962,16832469
20191016,8403234,8373906,16777140
20191017,8460030,8431510,16891540
20191018,8829334,8800473,17629807
20191019,7166950,7130045,14296995
20191020,5132556,5099954,10232510
20191021,8242940,8217541,16460481
20191022,8420610,8394084,16814694
20191023,8466107,8438851,16904958
20191024,8518751,8489602,17008353
20191025,9168811,9135998,18304809
20191026,7414985,7374705,14789690
20191027,5396611,5362706,10759317
20191028,8414454,8388976,16803430
20191029,8577372,8551010,17128382
20191030,8621322,8594208,17215530
20191031,8577819,8552286,17130105
20191101,8821280,8793103,17614383
20191102,6998432,6964168,13962600
20191103,5164051,5130240,10294291
20191104,8346301,8321330,16667631
20191105,8466623,8440261,16906884
20191106,8519800,8493114,17012914
20191107,8556137,8528471,17084608
20191108,8889015,8860408,17749423
20191109,7059076,7024371,14083447
20191110,4947258,4916076,9863334
20191111,8236483,8214485,16450968
20191112,8424043,8398130,16822173
20191113,8307567,8281537,16589104
20191114,8387951,8361020,16748971
20191115,8571401,8544953,17116354
20191116,6865076,6833169,13698245
20191117,4547062,4519238,9066300
20191118,8239847,8213073,16452920
20191119,8366053,8335075,16701128
20191120,8356841,8329658,16686499
20191121,8400197,8373034,16773231
20191122,8741053,8712342,17453395
20191123,6782600,6750345,13532945
20191124,4789136,4758716,9547852
20191125,8173263,8148890,16322153
20191126,8443643,8416936,16860579
20191127,8589550,8562662,17152212
20191128,8557637,8531008,17088645
20191129,8911781,8882374,17794155
20191130,6825325,6791674,13616999
20191201,4468607,4441810,8910417
20191202,8210046,8177792,16387838
20191203,8305533,8278579,16584112
20191204,8447163,8421066,16868229
20191205,8432826,8405061,16837887
20191206,8600690,8572064,17172754
20191207,6689169,6657100,13346269
20191208,4763935,4734711,9498646
20191209,8172999,8149938,16322937
20191210,8362643,8337137,16699780
20191211,8485643,8459202,16944845
20191212,8609254,8581543,17190797
20191213,8993812,8965253,17959065
20191214,7177937,7142525,14320462
20191215,4968511,4933718,9902229
20191216,8296050,8268994,16565044
20191217,8265848,8237466,16503314
20191218,8589967,8560672,17150639
20191219,8679111,8649450,17328561
20191220,9169870,9139640,18309510
20191221,7139298,7104194,14243492
20191222,5108439,5076206,10184645
20191223,8410199,8381066,16791265
20191224,8843820,8815901,17659721
20191225,5383807,5357371,10741178
20191226,8270786,8242619,16513405
20191227,8641121,8611826,17252947
20191228,6567343,6533929,13101272
20191229,4756871,4726139,9483010
20191230,8059114,8030589,16089703
20191231,7704492,7680078,15384570
20200101,3479698,3453691,6933389
20200102,7691529,7666539,15358068
20200103,8224917,8199047,16423964
20200104,6042529,6012872,12055401
20200105,4425521,4399481,8825002
20200106,7819416,7793536,15612952
20200107,7624873,7598869,15223742
20200108,7995810,7969012,15964822
20200109,8123002,8092976,16215978
20200110,8464744,8436636,16901380
20200111,6451540,6418817,12870357
20200112,4619399,4588998,9208397
20200113,7931538,7904467,15836005
20200114,8051486,8023067,16074553
20200115,8124059,8094788,16218847
20200116,8141415,8112635,16254050
20200117,8492225,8464605,16956830
20200118,6400595,6371044,12771639
20200119,4533571,4506694,9040265
20200120,8023369,7995924,16019293
20200121,8063435,8035456,16098891
20200122,8058478,8031884,16090362
20200123,7641489,7617612,15259101
20200124,3266041,3249207,6515248
20200125,2815670,2796973,5612643
20200126,3654653,3632918,7287571
20200127,3775047,3754829,7529876
20200128,7120843,7097891,14218734
20200129,7515756,7492386,15008142
20200130,7529076,7505197,15034273
20200131,7641869,7621003,15262872
20200201,4911125,4891594,9802719
20200202,3512904,3493943,7006847
20200203,7007625,6986718,13994343
20200204,7082056,7059649,14141705
20200205,6902894,6882234,13785128
20200206,6821778,6800755,13622533
20200207,7191742,7173342,14365084
20200208,4690115,4670830,9360945
20200209,3451571,3432956,6884527
20200210,6966442,6945699,13912141
20200211,7192604,7172004,14364608
20200212,6981076,6962555,13943631
20200213,7311679,7291686,14603365
20200214,7720695,7701337,15422032
20200215,5277149,5256674,10533823
20200216,3674194,3654696,7328890
20200217,7197144,7177785,14374929
20200218,7205498,7185525,14391023
20200219,7306690,7286511,14593201
20200220,7168504,7148661,14317165
20200221,7038538,7019767,14058305
20200222,4153989,4137759,8291748
20200223,2743837,2729844,5473681
20200224,5932806,5917541,11850347
20200225,5441771,5427894,10869665
20200226,5452346,5438655,10891001
20200227,5286459,5274656,10561115
20200228,5110196,5098610,10208806
20200229,2849115,2838734,5687849
20200301,1876648,1868644,3745292
20200302,5055967,5043815,10099782
20200303,5057314,5044593,10101907
20200304,5039210,5027375,10066585
20200305,5069053,5057500,10126553
20200306,5260545,5248846,10509391
20200307,3040950,3030143,6071093
20200308,2140678,2131026,4271704
20200309,5321127,5307842,10628969
20200310,5066217,5054380,10120597
20200311,5241419,5229198,10470617
20200312,5145065,5133380,10278445
20200313,5290910,5279404,10570314
20200314,3164614,3153892,6318506
20200315,2119053,2109748,4228801
20200316,5213484,5199275,10412759
20200317,5199422,5186850,10386272
20200318,5361366,5348300,10709666
20200319,5097671,5085581,10183252
20200320,5572310,5559250,11131560
20200321,3322693,3310056,6632749
20200322,2315902,2305071,4620973
20200323,5358156,5344029,10702185
20200324,5377448,5363337,10740785
20200325,5465540,5451949,10917489
20200326,5322387,5310174,10632561
20200327,5562634,5549733,11112367
20200328,3390527,3375538,6766065
20200329,2362676,2351415,4714091
20200330,5426066,5411984,10838050
20200331,5449727,5436452,10886179
20200401,5463892,5449083,10912975
20200402,5449915,5436170,10886085
20200403,5680884,5667374,11348258
20200404,3434007,3420935,6854942
20200405,2370375,2359423,4729798
20200406,5577891,5563565,11141456
20200407,5606422,5592396,11198818
20200408,5638965,5624584,11263549
20200409,5628249,5614677,11242926
20200410,5831543,5818186,11649729
20200411,3591463,3577948,7169411
20200412,2461904,2449697,4911601
20200413,5696537,5682208,11378745
