date,on_num,off_num,total
20200414,5885404,5872201,11757605
20200415,3156830,3144274,6301104
20200416,5778918,5764426,11543344
20200417,5750910,5738694,11489604
20200418,3889273,3873858,7763131
20200419,2486326,2473120,4959446
20200420,5823760,5808553,11632313
20200421,5947839,5932730,11880569
20200422,5907995,5892659,11800654
20200423,6014690,5999313,12014003
20200424,6332425,6318349,12650774
20200425,4102675,4088188,8190863
20200426,2922255,2907277,5829532
20200427,6133020,6113758,12246778
20200428,6257478,6236971,12494449
20200429,6551960,6533928,13085888
20200430,3744999,3729373,7474372
20200501,4091839,4075041,8166880
20200502,3842615,3824632,7667247
20200503,2987253,2969570,5956823
20200504,5567822,5551273,11119095
20200505,3298106,3281681,6579787
20200506,6526938,6508320,13035258
20200507,6606057,6587059,13193116
20200508,6803596,6781426,13585022
20200509,3831773,3816818,7648591
20200510,3077311,3061523,6138834
20200511,6399354,6380908,12780262
20200512,6350364,6332464,12682828
20200513,6412738,6394919,12807657
20200514,6349851,6331764,12681615
20200515,6260008,6243429,12503437
20200516,4107914,4091503,8199417
20200517,3047447,3032265,6079712
20200518,6104309,6085691,12190000
20200519,6165130,6147457,12312587
20200520,6544324,6521162,13065486
20200521,6511762,6489277,13001039
20200522,6688922,6667443,13356365
20200523,4533869,4513039,9046908
20200524,2946676,2929534,5876210
20200525,6457613,6435149,12892762
20200526,6466383,6447433,12913816
20200527,6613990,6594397,13208387
20200528,6499067,6481090,12980157
20200529,6688446,6670439,13358885
20200530,4325260,4307250,8632510
20200531,2993713,2978014,5971727
20200601,6337868,6319524,12657392
20200602,6203028,6187308,12390336
20200603,6465888,6447666,12913554
20200604,6444527,6426737,12871264
20200605,6678203,6660484,13338687
20200606,3971564,3955697,7927261
20200607,3022936,3006725,6029661
20200608,6326750,6308026,12634776
20200609,6393787,6374565,12768352
20200610,6440630,6420639,12861269
20200611,6398261,6380548,12778809
20200612,6637614,6620007,13257621
20200613,4312821,4295744,8608565
20200614,3032931,3017115,6050046
20200615,6413509,6395824,12809333
20200616,6477954,6459780,12937734
20200617,6528714,6510968,13039682
20200618,6507888,6490109,12997997
20200619,6736532,6718349,13454881
20200620,4425924,4408434,8834358
20200621,3105545,3089078,6194623
20200622,6382597,6365447,12748044
20200623,6532874,6514761,13047635
20200624,6281401,6263469,12544870
20200625,6488278,6470343,12958621
20200626,6861508,6843493,13705001
20200627,4601083,4582117,9183200
20200628,3239683,3222469,6462152
20200629,6491064,6471451,12962515
20200630,6398085,6378813,12776898
20200701,6646556,6622717,13269273
20200702,6660896,6639976,13300872
20200703,6891655,6870692,13762347
20200704,4579883,4561842,9141725
20200705,3205847,3188858,6394705
20200706,6583204,6565026,13148230
20200707,6648951,6629900,13278851
20200708,6719576,6701054,13420630
20200709,6696180,6677531,13373711
20200710,6800005,6782012,13582017
20200711,4637367,4584757,9222124
20200712,3196509,3179984,6376493
20200713,6260884,6241917,12502801
20200714,6655630,6637708,13293338
20200715,6855950,6835930,13691880
20200716,6776021,6756038,13532059
20200717,6938012,6917317,13855329
20200718,4635322,4617808,9253130
20200719,2847077,2831022,5678099
20200720,6414610,6396230,12810840
20200721,6763546,6743423,13506969
20200722,6586965,6568016,13154981
20200723,6486719,6465103,12951822
20200724,6828759,6810040,13638799
20200725,4598455,4580279,9178734
20200726,3258276,3240189,6498465
20200727,6445854,6426673,12872527
20200728,6614967,6593526,13208493
20200729,6453333,6433749,12887082
20200730,6595884,6575783,13171667
20200731,6836967,6815385,13652352
20200801,3940146,3923288,7863434
20200802,2704364,2689920,5394284
20200803,5799748,5781109,11580857
20200804,6120448,6101109,12221557
20200805,6156818,6136841,12293659
20200806,6502352,6481564,12983916
20200807,6910673,6892566,13803239
20200808,4480324,4460143,8940467
20200809,2679392,2664961,5344353
20200810,6418371,6397323,12815694
20200811,6470134,6452043,12922177
20200812,6763623,6743218,13506841
20200813,6651268,6630837,13282105
20200814,6664071,6645408,13309479
20200815,3803540,3785876,7589416
20200816,3085360,3068711,6154071
20200817,3781888,3766271,7548159
20200818,6076826,6058432,12135258
20200819,5833528,5816679,11650207
20200820,5669449,5653205,11322654
20200821,5650780,5634843,11285623
20200822,3050984,3038764,6089748
20200823,2167612,2156711,4324323
20200824,5407894,5393049,10800943
20200825,5450465,5433498,10883963
20200826,5300539,5285033,10585572
20200827,4913077,4900092,9813169
20200828,5325698,5310881,10636579
20200829,2798529,2787340,5585869
20200830,1886642,1877025,3763667
20200831,5036373,5022391,10058764
20200901,4948942,4934954,9883896
20200902,4757519,4743981,9501500
20200903,4735517,4723205,9458722
20200904,5244125,5229572,10473697
20200905,2991611,2979258,5970869
20200906,1999466,1989370,3988836
20200907,4726687,4714535,9441222
20200908,5271254,5256299,10527553
20200909,5176649,5162097,10338746
20200910,5297550,5283512,10581062
20200911,5464496,5448928,10913424
20200912,3170463,3157509,6327972
20200913,2372088,2360065,4732153
20200914,5664479,5649532,11314011
20200915,5788366,5772534,11560900
20200916,5719380,5703804,11423184
20200917,5844229,5827210,11671439
20200918,6139300,6121982,12261282
20200919,3957900,3942094,7899994
20200920,2746575,2732815,5479390
20200921,6046732,6030841,12077573
20200922,6144769,6128653,12273422
20200923,6198234,6181603,12379837
20200924,6213430,6196880,12410310
20200925,6486062,6469914,12955976
20200926,4158898,4143606,8302504
20200927,2878620,2865237,5743857
20200928,6242699,6226997,12469696
20200929,6146266,6129786,12276052
20200930,2509420,2495282,5004702
20201001,1784389,1775583,3559972
20201002,2450793,2441986,4892779
20201003,3006974,2993972,6000946
20201004,2714550,2701215,5415765
20201005,6176818,6159619,12336437
20201006,6330727,6314719,12645446
20201007,6399696,6382690,12782386
20201008,6649853,6634031,13283884
20201009,3991088,3976815,7967903
20201010,4143646,4126756,8270402
20201011,3020149,3003787,6023936
20201012,6468662,6450890,12919552
20201013,6607629,6589432,13197061
20201014,6649346,6629443,13278789
20201015,6613350,6592660,13206010
20201016,6843500,6826399,13669899
20201017,4746060,4727642,9473702
20201018,3328708,3311123,6639831
20201019,6595258,6577703,13172961
20201020,6765828,6744148,13509976
20201021,6751454,6730647,13482101
20201022,6770118,6749397,13519515
20201023,7077858,7058218,14136076
20201024,4897754,4876557,9774311
20201025,3478664,3458410,6937074
20201026,6696975,6678772,13375747
20201027,6821817,6802482,13624299
20201028,6898878,6879175,13778053
20201029,6885557,6865215,13750772
20201030,7161554,7140485,14302039
20201031,5054519,5031394,10085913
20201101,3175198,3155303,6330501
20201102,6746611,6725397,13472008
20201103,6825713,6801594,13627307
20201104,6847990,6827759,13675749
20201105,6894668,6873683,13768351
20201106,7089930,7070301,14160231
20201107,4998889,4977817,9976706
20201108,3591699,3570123,7161822
20201109,6715744,6696533,13412277
20201110,6911740,6891862,13803602
20201111,7012485,6992605,14005090
20201112,6956283,6936036,13892319
20201113,7148546,7128962,14277508
20201114,4939498,4918851,9858349
20201115,3492397,3473436,6965833
20201116,6677964,6659978,13337942
20201117,6759810,6741087,13500897
20201118,6660873,6641388,13302261
20201119,6328551,6312261,12640812
20201120,6836154,6812973,13649127
20201121,4372198,4354560,8726758
20201122,2931066,2914760,5845826
20201123,6324094,6306298,12630392
20201124,6189734,6172228,12361962
20201125,6203114,6182534,12385648
20201126,6013021,5995222,12008243
20201127,6005015,5983647,11988662
20201128,3531777,3515074,7046851
20201129,2476812,2462096,4938908
20201130,5771438,5752826,11524264
20201201,5777719,5761218,11538937
20201202,5859462,5840921,11700383
20201203,5801066,5782111,11583177
20201204,5917486,5898143,11815629
20201205,3552439,3537234,7089673
20201206,2479996,2467907,4947903
20201207,5703916,5687473,11391389
20201208,5499628,5484252,10983880
20201209,5468232,5453219,10921451
20201210,5470883,5455848,10926731
20201211,5583702,5567066,11150768
20201212,3187205,3174642,6361847
20201213,2052188,2043117,4095305
20201214,5068947,5054515,10123462
20201215,5009495,4993492,10002987
20201216,4976013,4959696,9935709
20201217,5040629,5026766,10067395
20201218,5303065,5287054,10590119
20201219,2922307,2909015,5831322
20201220,1983624,1974449,3958073
20201221,5191172,5178124,10369296
20201222,5226789,5208725,10435514
20201223,5235581,5220682,10456263
20201224,5258127,5241137,10499264
20201225,2288757,2278087,4566844
20201226,2626086,2613898,5239984
20201227,1892402,1883335,3775737
20201228,5088149,5072708,10160857
20201229,5104623,5089689,10194312
20201230,4882008,4867639,9749647
20201231,4670340,4654399,9324739
20210101,1578935,1570938,3149873
20210102,2438627,2428224,4866851
20210103,1901229,1890381,3791610
20210104,5254470,5238697,10493167
20210105,5247518,5231357,10478875
20210106,5472595,5448634,10921229
20210107,5700782,5684254,11385036
20210108,5271560,5252786,10524346
20210109,2976317,2962270,5938587
20210110,2013592,2002913,4016505
20210111,5336534,5316710,10653244
20210112,5765792,5739318,11505110
20210113,5647342,5629838,11277180
20210114,5564871,5547547,11112418
20210115,5634607,5617160,11251767
20210116,3393299,3378679,6771978
20210117,2272061,2261151,4533212
20210118,5800237,5783998,11584235
20210119,5587616,5571392,11159008
20210120,5866517,5848652,11715169
20210121,5738073,5719791,11457864
20210122,5927566,5909777,11837343
20210123,3738691,3723040,7461731
20210124,2606091,2591665,5197756
20210125,5909545,5891607,11801152
20210126,5835263,5816873,11652136
20210127,6066121,6048369,12114490
20210128,5884117,5867791,11751908
20210129,5829581,5812330,11641911
20210130,3766451,3750783,7517234
20210131,2655454,2641749,5297203
20210201,5985793,5966469,11952262
20210202,5964361,5944384,11908745
20210203,6226946,6204360,12431306
20210204,6194223,6178411,12372634
20210205,6304945,6287035,12591980
20210206,3978787,3962840,7941627
20210207,2766063,2752136,5518199
20210208,6158652,6140916,12299568
20210209,6232265,6214382,12446647
20210210,5988756,5969609,11958365
20210211,2384137,2371104,4755241
20210212,1691746,1682882,3374628
20210213,2744984,2730837,5475821
20210214,2684238,2671603,5355841
20210215,5941488,5923744,11865232
20210216,6165517,6147408,12312925
20210217,6051727,6034713,12086440
20210218,6119870,6101838,12221708
20210219,6494661,6468024,12962685
20210220,4324514,4300561,8625075
20210221,3075725,3057813,6133538
20210222,6323614,6301275,12624889
20210223,6338991,6316451,12655442
20210224,6431251,6409179,12840430
20210225,6389834,6367857,12757691
20210226,6669860,6645431,13315291
20210227,4531692,4513517,9045209
20210228,3346951,3329704,6676655
20210301,2635986,2623335,5259321
20210302,6408282,6387540,12795822
20210303,6520055,6499138,13019193
20210304,6499933,6480614,12980547
20210305,6861445,6840754,13702199
20210306,4546437,4527195,9073632
20210307,3243833,3226505,6470338
20210308,6462083,6440106,12902189
20210309,6578984,6558465,13137449
20210310,6637015,6617534,13254549
20210311,6578052,6557495,13135547
20210312,6783960,6763250,13547210
20210313,4674337,4654091,9328428
20210314,3309148,3292257,6601405
20210315,6461309,6442220,12903529
20210316,6564136,6546503,13110639
20210317,6672170,6653735,13325905
20210318,6662608,6642537,13305145
20210319,6992207,6970387,13962594
20210320,4288109,4268917,8557026
20210321,3321255,3304170,6625425
20210322,6502350,6484575,12986925
20210323,6656740,6638299,13295039
20210324,6701750,6682233,13383983
20210325,6747015,6725427,13472442
20210326,7012774,6989990,14002764
20210327,4355835,4335915,8691750
20210328,3022873,3006544,6029417
20210329,6517229,6499746,13016975
20210330,6694430,6674854,13369284
20210331,6796259,6775169,13571428
20210401,6769088,6748073,13517161
20210402,7019447,6997698,14017145
20210403,3975506,3957531,7933037
20210404,3319075,3301567,6620642
20210405,6635862,6616688,13252550
20210406,6738475,6719193,13457668
20210407,6693243,6673083,13366326
20210408,6715251,6694262,13409513
20210409,6943766,6923619,13867385
20210410,4769289,4748309,9517598
20210411,3406512,3387631,6794143
20210412,6307956,6287923,12595879
20210413,6566553,6547339,13113892
20210414,6656316,6632035,13288351
20210415,6654046,6632420,13286466
20210416,6620574,6600859,13221433
20210417,4448710,4428769,8877479
20210418,3284037,3264744,6548781
20210419,6460705,6440451,12901156
20210420,6647298,6626895,13274193
20210421,6684298,6664152,13348450
20210422,6629152,6607573,13236725
20210423,6830754,6808649,13639403
20210424,4625339,4604009,9229348
20210425,3343543,3325294,6668837
20210426,6578340,6559619,13137959
20210427,6640495,6621263,13261758
20210428,6689896,6670418,13360314
20210429,6713631,6693769,13407400
20210430,6914225,6893409,13807634
20210501,4281055,4261120,8542175
20210502,3445692,3426330,6872022
20210503,6660562,6640241,13300803
20210504,6540065,6519927,13059992
20210505,3978157,3958783,7936940
20210506,6752291,6731944,13484235
20210507,6777178,6756145,13533323
20210508,4112822,4093592,8206414
20210509,3433049,3416391,6849440
20210510,6448918,6430929,12879847
20210511,6812867,6791763,13604630
20210512,6838049,6816714,13654763
20210513,6813022,6791390,13604412
20210514,7107360,7082374,14189734
20210515,4537896,4516116,9054012
20210516,2777090,2761866,5538956
20210517,6451124,6432671,12883795
20210518,7042063,7021429,14063492
20210519,4270017,4247514,8517531
20210520,6593498,6572106,13165604
20210521,6854347,6832887,13687234
20210522,4879429,4856503,9735932
20210523,3419331,3400220,6819551
20210524,6641865,6621416,13263281
20210525,6668434,6649041,13317475
20210526,6831200,6811345,13642545
20210527,6523613,6503967,13027580
20210528,6705624,6687254,13392878
20210529,4665973,4645735,9311708
20210530,3444592,3424628,6869220
20210531,6472583,6455376,12927959
20210601,6585184,6565425,13150609
20210602,6666237,6644882,13311119
20210603,6425204,6405507,12830711
20210604,6967783,6947141,13914924
20210605,4764571,4741234,9505805
20210606,3336643,3318410,6655053
20210607,6463999,6446004,12910003
20210608,6621696,6602973,13224669
20210609,6653343,6633550,13286893
20210610,6655994,6635565,13291559
20210611,6678928,6658936,13337864
20210612,4598198,4577883,9176081
20210613,3259268,3240781,6500049
20210614,6516407,6497773,13014180
20210615,6528382,6510140,13038522
20210616,6755019,6735032,13490051
20210617,6712810,6690178,13402988
20210618,6775221,6756666,13531887
20210619,4832421,4810884,9643305
20210620,3415926,3396733,6812659
20210621,6707485,6687697,13395182
20210622,6787145,6766922,13554067
20210623,6788156,6767695,13555851
20210624,6864714,6841437,13706151
20210625,7103159,7080155,14183314
20210626,4656405,4635961,9292366
20210627,3461015,3440594,6901609
20210628,6584734,6565603,13150337
20210629,6762163,6741173,13503336
20210630,6737746,6717277,13455023
20210701,6779552,6758259,13537811
20210702,7017089,6992015,14009104
20210703,4366713,4343312,8710025
20210704,2896023,2879537,5775560
20210705,6688907,6667883,13356790
20210706,6795107,6773179,13568286
20210707,6560203,6539368,13099571
20210708,6353176,6333850,12687026
20210709,6421539,6402296,12823835
20210710,3830996,3814152,7645148
20210711,2623786,2610226,5234012
20210712,5729254,5711812,11441066
20210713,5726113,5709616,11435729
20210714,5672476,5656105,11328581
20210715,5584746,5567809,11152555
20210716,5715864,5697986,11413850
20210717,3486029,3469620,6955649
20210718,2465051,2452253,4917304
20210719,5613088,5596213,11209301
20210720,5714301,5697930,11412231
20210721,5642119,5625415,11267534
20210722,5573464,5556501,11129965
20210723,5731060,5712674,11443734
20210724,3473325,3457067,6930392
20210725,2420437,2407302,4827739
20210726,5580229,5562675,11142904
20210727,5593883,5577147,11171030
20210728,5569642,5552971,11122613
20210729,5516631,5499607,11016238
20210730,5632486,5615478,11247964
20210731,3420215,3405347,6825562
